case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case001,cases_floorfrontR_lhs_500\case001\case001.key,2000395,3372421,-2368.99075000,-272.70885000,310.52435000,-2371.74198664,-270.68324659,293.36108610,575.37008145,-423.61735791,3589.37809896,3659.80020409,1.20564287,0.0120564287,6.2753711532E-05,11.25802754,323.63756846,1,titanium_rigid,110000.0,0.3400,150.36104849,0.3317660456,0.8299402073,0.5564938091,0.9112857457,0.7505351692,0.8989932457,0.3544607344
case002,cases_floorfrontR_lhs_500\case002\case002.key,2000395,3377297,-1666.36900000,-207.39212500,302.42537500,-1668.29945279,-209.90512263,285.21467499,522.11104893,679.66636583,4654.81294961,4733.05714228,1.19726441,0.0119726441,6.2317612393E-05,10.43260891,52.46898902,0,aluminum_rigid,70000.0,0.3300,81.70558831,0.9878668071,0.9873361261,0.8663165446,0.8945288143,0.6955072607,0.1457471917,0.1027871841
case003,cases_floorfrontR_lhs_500\case003\case003.key,2000395,3372977,-1882.20650000,-306.08710000,308.19597500,-1881.88865780,-306.51113634,290.70400057,-58.73366381,78.35714523,3232.32012363,3233.80315837,0.85047913,0.0085047913,4.4267438795E-05,1.73529414,126.85389179,1,titanium_rigid,110000.0,0.3400,181.05679319,0.7863200316,0.7495075107,0.4335189972,0.2009582630,0.1156862763,0.3523719216,0.3943458939
case004,cases_floorfrontR_lhs_500\case004\case004.key,2000395,3372439,-2326.11025000,-283.70307500,309.10987500,-2326.94244597,-281.30924203,291.79436133,224.59527108,-646.05403740,4673.15709221,4722.94675637,1.07859180,0.0107859180,5.6140703051E-05,8.32689280,289.16957891,1,titanium_rigid,110000.0,0.3400,161.21354593,0.3718074031,0.8034470519,0.8633979263,0.6571835947,0.5551261870,0.8032488303,0.4868786038
case005,cases_floorfrontR_lhs_500\case005\case005.key,2000395,2636120,-2458.57950000,-524.40277500,294.63750000,-2458.34051526,-524.13938600,277.14111430,-40.07035921,-44.16219963,2933.60346187,2934.20946850,1.22037939,0.0122037939,6.3520747172E-05,1.16449663,227.78112211,2,steel_rigid,210000.0,0.3000,81.61282191,0.2481090180,0.2234248534,0.3470337082,0.9407587770,0.0776331089,0.6327253392,0.9485429844
case006,cases_floorfrontR_lhs_500\case006\case006.key,2000395,3367700,-2468.36650000,-465.37895000,294.44227500,-2471.68307850,-463.71703642,277.33998421,329.08815617,-164.90370295,1696.97817714,1736.44095191,0.92106375,0.0092106375,4.7941368141E-05,12.23847679,333.38488083,2,steel_rigid,210000.0,0.3000,105.70631541,0.2389700209,0.3656565585,0.0012675592,0.3421274982,0.8158984524,0.9260691134,0.9612744383
case007,cases_floorfrontR_lhs_500\case007\case007.key,2000395,3376960,-2149.60975000,-267.32595000,314.91667500,-2147.55625472,-269.71972998,297.70322170,-209.28473745,243.96531101,1754.33228016,1783.53607296,1.21649853,0.0121649853,6.3318748467E-05,10.38270933,130.62452056,2,steel_rigid,210000.0,0.3000,142.35373465,0.5366217039,0.8429115633,0.0148627560,0.9329970592,0.6921806221,0.3628458904,0.8561879485
case008,cases_floorfrontR_lhs_500\case008\case008.key,2000395,3371515,-2472.02300000,-306.36607500,306.74470000,-2475.03008986,-309.38915330,289.77212188,413.19476663,415.39168857,2332.14861897,2404.62000138,0.99070745,0.0099070745,5.1566322960E-05,14.10244770,45.15191421,2,steel_rigid,210000.0,0.3000,185.50246577,0.2355556199,0.7488352552,0.1941543262,0.4814149072,0.9401631797,0.1254219839,0.8731842515
case009,cases_floorfrontR_lhs_500\case009\case009.key,2000395,3376555,-2069.99400000,-389.16480000,291.99407500,-2067.15989598,-390.80775470,274.80342189,-567.55266476,329.01520464,3442.56981881,3504.51908106,1.22589731,0.0122589731,6.3807955112E-05,10.78905282,149.89875837,2,steel_rigid,210000.0,0.3000,263.36146012,0.6109660495,0.5493123704,0.5116679891,0.9517946249,0.7192701881,0.4163854399,0.8124548246
case010,cases_floorfrontR_lhs_500\case010\case010.key,2000395,3372350,-2474.55250000,-213.02575000,313.71537500,-2470.69310706,-213.48643460,296.65246622,-867.13570686,103.50748692,3833.72662697,3931.93311036,1.13533058,0.0113533058,5.9093956521E-05,12.83254371,173.19297619,0,aluminum_rigid,70000.0,0.3300,92.26079298,0.2331935995,0.9737605896,0.6350518491,0.7706611535,0.8555029143,0.4810916005,0.1430964951
case011,cases_floorfrontR_lhs_500\case011\case011.key,2000395,3369119,-1937.82550000,-573.72317500,294.27920000,-1937.10412250,-573.47157515,276.79588475,-171.45049518,-59.79798203,4155.27661850,4159.24210010,1.17196735,0.0117196735,6.1000900441E-05,2.50214809,199.22759465,0,aluminum_rigid,70000.0,0.3300,81.94098057,0.7343835974,0.1045758194,0.7006703329,0.8439346951,0.1668098729,0.5534099851,0.1792998125
case012,cases_floorfrontR_lhs_500\case012\case012.key,2000395,3377048,-2106.72175000,-327.97812500,295.43690000,-2106.80375781,-327.83936789,277.93764227,19.89307901,-33.65906325,4244.88966722,4245.06972310,1.04280518,0.0104280518,5.4278009502E-05,0.52771618,300.58380980,0,aluminum_rigid,70000.0,0.3300,204.10539118,0.5766700649,0.6967559682,0.7254466450,0.5856103555,0.0351810786,0.8349550272,0.2558342910
