case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case001,cases_floorfrontdriver_lhs_100\case001\case001.key,2000394,3047552,-1706.64525000,272.53417500,301.78652500,-1704.96589426,272.15667073,284.37138059,-395.08655149,88.81195192,4097.10056664,4117.06375942,0.84016813,0.0084016813,4.3730751310E-05,5.64461698,167.33100779,1,titanium_rigid,110000.0,0.3400,80.31110764,0.9526197832,0.1305241173,0.6884944890,0.1803362655,0.3763077984,0.4648083550,0.4685667448
case002,cases_floorfrontdriver_lhs_100\case002\case002.key,2000394,3047970,-2084.27200000,296.92022500,312.24822500,-2083.30322146,298.10546982,294.81530606,-181.51839341,-222.07731341,3266.37648740,3278.94535144,1.20461835,0.0120461835,6.2700385190E-05,5.01830879,230.73861185,1,titanium_rigid,110000.0,0.3400,135.83445235,0.5994653962,0.1919718141,0.4465504320,0.9092367028,0.3345539192,0.6409405885,0.5491369333
case003,cases_floorfrontdriver_lhs_100\case003\case003.key,2000394,3045878,-1937.10800000,574.21390000,293.89577500,-1937.09113684,569.96644247,276.91906094,-1.91332880,481.92528373,1926.21295749,1985.58605895,0.82792402,0.0082792402,4.3093445010E-05,14.04676491,90.22747321,1,titanium_rigid,110000.0,0.3400,82.63277213,0.7370923313,0.8906933237,0.0731895901,0.1558480311,0.9364509941,0.2506318700,0.4488160130
case004,cases_floorfrontdriver_lhs_100\case004\case004.key,2000394,3044498,-2662.63925000,587.76055000,299.95967500,-2665.01752000,589.95497931,282.76146835,668.71084428,-617.01937850,4835.71137591,4920.56822103,0.86842161,0.0086842161,4.5201345058E-05,10.65613109,317.30227819,1,titanium_rigid,110000.0,0.3400,102.14400215,0.0585796362,0.9248280213,0.9204463558,0.2368432299,0.7104087390,0.8813952172,0.6132683810
case005,cases_floorfrontdriver_lhs_100\case005\case005.key,2000394,3046403,-1998.15450000,473.63915000,289.05847500,-1998.48148674,475.54132386,271.66523452,81.92652944,-476.58966425,4357.87644560,4384.62504434,1.17737994,0.0117737994,6.1282626128E-05,6.33202982,279.75390569,2,steel_rigid,210000.0,0.3000,194.79280915,0.6800019920,0.6372661904,0.7657328150,0.8547598896,0.4221353213,0.7770941825,0.7936407674
case006,cases_floorfrontdriver_lhs_100\case006\case006.key,2000394,3048454,-2176.80600000,263.22632500,314.39072500,-2177.30972567,260.03674100,297.19122459,103.78377986,657.15746169,3543.65335556,3605.56598980,0.84869440,0.0084869440,4.4174543542E-05,10.63319961,81.02549552,1,titanium_rigid,110000.0,0.3400,104.52696586,0.5129281261,0.1070703007,0.5408377327,0.1973888008,0.7088799743,0.2250708209,0.6265686302
case007,cases_floorfrontdriver_lhs_100\case007\case007.key,2000394,3045727,-1808.02550000,526.40015000,296.50935000,-1807.40101082,525.63896869,279.03706863,-118.15422078,144.01656173,3305.77993510,3311.02433836,1.03658518,0.0103658518,5.3954258661E-05,3.22523842,129.36617513,2,steel_rigid,210000.0,0.3000,87.27322349,0.8578095505,0.7702127697,0.4558108422,0.5731703616,0.2150158943,0.3593504865,0.9394963186
case008,cases_floorfrontdriver_lhs_100\case008\case008.key,2000394,3046851,-2394.38350000,419.25800000,298.16375000,-2394.58974661,423.42217454,281.16765890,21.30889890,-430.23240209,1755.99486235,1808.05750616,1.02477747,0.0102477747,5.3339667158E-05,13.78295327,272.83547472,2,steel_rigid,210000.0,0.3000,191.73998382,0.3094508866,0.5002371751,0.0219414873,0.5495549340,0.9188635511,0.7578763187,0.6816012527
case009,cases_floorfrontdriver_lhs_100\case009\case009.key,2000394,2724584,-2263.48700000,345.34840000,290.33910000,-2267.45055961,343.27377322,273.42058591,406.47074245,212.75700856,1735.02650449,1794.65901509,0.92765172,0.0092765172,4.8284272160E-05,14.81146959,27.62869116,1,titanium_rigid,110000.0,0.3400,193.21011146,0.4318645483,0.3140005894,0.0180736743,0.3553034451,0.9874313061,0.0767463643,0.3597929156
case010,cases_floorfrontdriver_lhs_100\case010\case010.key,2000394,3045625,-1969.69325000,486.57140000,289.53905000,-1965.68352158,487.48753677,272.52926542,-461.36493397,-105.41197161,1957.16949373,2013.57436248,1.02939890,0.0102939890,5.3580212638E-05,13.59349515,192.86994182,0,aluminum_rigid,70000.0,0.3300,166.48464139,0.7066187910,0.6698527297,0.0812691211,0.5587977959,0.9062330100,0.5357498384,0.1430991191
case011,cases_floorfrontdriver_lhs_100\case011\case011.key,2000394,3047371,-1763.19100000,328.79952500,299.21140000,-1764.80586938,324.80912442,282.24912126,439.19360051,1085.26325540,4613.20549093,4759.44873424,0.75573291,0.0075573291,3.9335897740E-05,14.24018303,67.96738500,0,aluminum_rigid,70000.0,0.3300,127.84243606,0.8997385197,0.2723009187,0.8739351446,0.0114658113,0.9493455353,0.1887982917,0.0770815302
