case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case001,cases_trunkfloor_lhs_500\case001\case001.key,2000447,3281740,-3896.53200000,-104.26434250,495.40627500,-3896.01934327,-106.91131684,478.11521633,-73.58867848,379.95666957,2482.02370927,2512.01593501,0.93001382,0.0093001382,4.8407219236E-05,8.86265487,100.96113784,1,titanium_rigid,110000.0,0.3400,90.14759140,0.6346380639,0.3593305537,0.2251568762,0.3600276364,0.5908436580,0.2804476051,0.5321746242
case002,cases_trunkfloor_lhs_500\case002\case002.key,2000447,3284830,-4065.55550000,235.65065000,511.82897500,-4067.04119487,234.01975530,494.46859213,308.14642299,338.26216996,3600.69890789,3629.65675221,0.96651976,0.0096651976,5.0307353542E-05,7.24231028,47.66744347,0,aluminum_rigid,70000.0,0.3300,243.11301217,0.3884717711,0.7631234168,0.5477921400,0.4330395213,0.4828206856,0.1324095652,0.0701597253
case003,cases_trunkfloor_lhs_500\case003\case003.key,2000447,3293375,-4002.35500000,-397.83865000,629.95075000,-4002.29200592,-397.80611360,612.45089363,-14.36459847,-7.41930557,3990.50876580,3990.54151685,0.80232041,0.0080232041,4.1760777112E-05,0.23213180,207.31632348,2,steel_rigid,210000.0,0.3000,88.93231116,0.4805171541,0.0105868595,0.6519706466,0.1046408112,0.0154754530,0.5758786763,0.9182845506
case004,cases_trunkfloor_lhs_500\case004\case004.key,2000447,3281401,-4077.92375000,-18.67309500,492.42542500,-4076.27650891,-18.48913429,475.00409453,-332.20586038,-37.10011062,3513.43110930,3529.29671630,1.05874183,0.0105874183,5.5107512228E-05,5.43481442,186.37227817,0,aluminum_rigid,70000.0,0.3300,81.07868760,0.3704586176,0.4610063716,0.5188206796,0.6174836591,0.3623209610,0.5177007727,0.3252251668
case005,cases_trunkfloor_lhs_500\case005\case005.key,2000447,3285504,-4265.61975000,144.75517500,516.93840000,-4263.30065013,146.94663732,499.73173650,-414.47753905,-391.66571466,3075.23433469,3127.66044763,0.78336256,0.0078336256,4.0774021242E-05,10.50534147,223.37910625,2,steel_rigid,210000.0,0.3000,145.38603516,0.0970976442,0.6551465847,0.4028782217,0.0667251198,0.7003560982,0.6204975174,0.6934687574
case006,cases_trunkfloor_lhs_500\case006\case006.key,2000447,3289399,-4290.55050000,264.62647500,557.98642500,-4294.29103378,265.59551768,540.91834475,1072.75863762,-277.91458655,4895.00471494,5018.87624586,1.17388342,0.0117388342,6.1100632084E-05,12.75608629,345.47595612,1,titanium_rigid,110000.0,0.3400,101.22595433,0.0607884309,0.7975444680,0.9488254513,0.8477668428,0.8504057530,0.9596554337,0.6289889679
case007,cases_trunkfloor_lhs_500\case007\case007.key,2000447,3286448,-3941.47800000,-349.63485000,525.65895000,-3943.56113617,-349.94028118,508.28606148,308.89618169,45.29061818,2576.12489196,2594.97351627,1.01717011,0.0101717011,5.2943704462E-05,6.90993911,8.34132128,2,steel_rigid,210000.0,0.3000,136.95351267,0.5691785852,0.0678492659,0.2491046783,0.5343402291,0.4606626073,0.0231703369,0.8626619741
case008,cases_trunkfloor_lhs_500\case008\case008.key,2000447,3292843,-3739.91750000,-343.57700000,630.13825000,-3739.84756659,-339.49970771,613.12000106,-18.22699230,-1062.67906925,4435.52623519,4561.08671377,1.17100401,0.0117100401,6.0950758672E-05,13.47507863,269.01736341,2,steel_rigid,210000.0,0.3000,80.84794356,0.8627318548,0.0750455257,0.8166729349,0.8420080181,0.8983385753,0.7472704539,0.7389027718
case009,cases_trunkfloor_lhs_500\case009\case009.key,2000447,3283038,-3849.17775000,-263.47410000,508.39575000,-3853.47046897,-263.69428490,491.43184472,654.12809555,33.55195852,2584.97402883,2666.66458878,1.17665122,0.0117665122,6.1244695900E-05,14.21851794,2.93627868,0,aluminum_rigid,70000.0,0.3300,163.31502700,0.7036049245,0.1702016090,0.2698001180,0.8533024361,0.9479011961,0.0081563297,0.2455737992
case010,cases_trunkfloor_lhs_500\case010\case010.key,2000447,3283921,-3870.59875000,283.07965000,509.50717500,-3871.15890354,283.18688552,492.01647094,104.07664086,-19.92438187,3249.77635329,3251.50354061,0.98187971,0.0098187971,5.1106838715E-05,1.86760256,349.16244944,1,titanium_rigid,110000.0,0.3400,166.25384745,0.6724073209,0.8194654204,0.4386286599,0.4637594127,0.1245068375,0.9698956929,0.3565176460
