case,impact_x,impact_y,impact_z,velocity_x,velocity_y,velocity_z,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_young_mpa,material_poisson,material_index,material_name
case001,-2368.99072265625,-272.7088623046875,310.52435302734375,575.3700561523438,-423.61737060546875,3589.378173828125,3659.80029296875,1.205642819404602,0.01205642893910408,6.275370833463967e-05,11.258027076721191,323.6375732421875,110000.0,0.3400000035762787,1,titanium_rigid
case002,-1666.3690185546875,-207.39212036132812,302.4253845214844,522.1110229492188,679.6663818359375,4654.81298828125,4733.05712890625,1.1972644329071045,0.011972644366323948,6.231760926311836e-05,10.432608604431152,52.468990325927734,70000.0,0.33000001311302185,0,aluminum_rigid
case003,-1882.20654296875,-306.08709716796875,308.19598388671875,-58.733665466308594,78.35714721679688,3232.320068359375,3233.80322265625,0.8504791259765625,0.008504791185259819,4.426743907970376e-05,1.7352941036224365,126.85388946533203,110000.0,0.3400000035762787,1,titanium_rigid
case004,-2326.1103515625,-283.70306396484375,309.10986328125,224.59527587890625,-646.0540161132812,4673.1572265625,4722.94677734375,1.0785918235778809,0.01078591775149107,5.614070323645137e-05,8.326892852783203,289.1695861816406,110000.0,0.3400000035762787,1,titanium_rigid
case005,-2458.57958984375,-524.4027709960938,294.63751220703125,-40.07035827636719,-44.162200927734375,2933.603515625,2934.20947265625,1.22037935256958,0.012203793972730637,6.35207470622845e-05,1.164496660232544,227.7811279296875,210000.0,0.30000001192092896,2,steel_rigid
case006,-2468.366455078125,-465.3789367675781,294.4422607421875,329.0881652832031,-164.90370178222656,1696.9781494140625,1736.44091796875,0.9210637211799622,0.009210637770593166,4.7941368393367156e-05,12.238476753234863,333.3848876953125,210000.0,0.30000001192092896,2,steel_rigid
case007,-2149.60986328125,-267.3259582519531,314.91668701171875,-209.2847442626953,243.96531677246094,1754.332275390625,1783.5361328125,1.2164984941482544,0.01216498576104641,6.331875192699954e-05,10.382709503173828,130.62452697753906,210000.0,0.30000001192092896,2,steel_rigid
case008,-2472.02294921875,-306.3660888671875,306.74468994140625,413.19476318359375,415.3916931152344,2332.148681640625,2404.6201171875,0.9907074570655823,0.009907074272632599,5.156632323632948e-05,14.102447509765625,45.151912689208984,210000.0,0.30000001192092896,2,steel_rigid
case009,-2069.993896484375,-389.164794921875,291.99407958984375,-567.5526733398438,329.01519775390625,3442.56982421875,3504.51904296875,1.2258973121643066,0.012258972972631454,6.380795821314678e-05,10.789052963256836,149.8987579345703,210000.0,0.30000001192092896,2,steel_rigid
case010,-2474.552490234375,-213.0257568359375,313.7153625488281,-867.1356811523438,103.50748443603516,3833.7265625,3931.93310546875,1.1353305578231812,0.011353305540978909,5.909395622438751e-05,12.83254337310791,173.19297790527344,70000.0,0.33000001311302185,0,aluminum_rigid
case011,-1937.825439453125,-573.72314453125,294.2792053222656,-171.45050048828125,-59.79798126220703,4155.27685546875,4159.2421875,1.1719673871994019,0.011719673871994019,6.1000901041552424e-05,2.502148151397705,199.22760009765625,70000.0,0.33000001311302185,0,aluminum_rigid
case012,-2106.7216796875,-327.9781188964844,295.4368896484375,19.89307975769043,-33.659061431884766,4244.8896484375,4245.06982421875,1.0428051948547363,0.010428051464259624,5.427801079349592e-05,0.5277161598205566,300.58380126953125,70000.0,0.33000001311302185,0,aluminum_rigid
case013,-1683.63330078125,-330.97259521484375,294.4013366699219,-620.3348388671875,363.1665954589844,4988.390625,5039.9150390625,0.7571993470191956,0.00757199339568615,3.941222530556843e-05,8.199821472167969,149.65374755859375,210000.0,0.30000001192092896,2,steel_rigid
case014,-2045.531982421875,-523.611083984375,290.2593994140625,-92.21778869628906,-122.80010986328125,3588.85205078125,3592.13623046875,1.122192621231079,0.011221926659345627,5.841012534801848e-05,2.4502525329589844,233.094970703125,70000.0,0.33000001311302185,0,aluminum_rigid
case015,-2287.114990234375,-508.0882568359375,296.31201171875,198.7618865966797,652.5116577148438,3098.331298828125,3172.528076171875,0.8052754998207092,0.008052755147218704,4.1914590838132426e-05,12.415882110595703,73.0587158203125,110000.0,0.3400000035762787,1,titanium_rigid
case016,-2108.711181640625,-304.8092346191406,305.2711486816406,165.0876007080078,90.53777313232422,3236.889404296875,3242.361083984375,1.1692944765090942,0.01169294398277998,6.0861773818032816e-05,3.3290469646453857,28.74135971069336,110000.0,0.3400000035762787,1,titanium_rigid
case017,-2063.134033203125,-575.7418212890625,287.2486877441406,148.3634796142578,-24.228561401367188,1788.305908203125,1794.61328125,0.830513596534729,0.008305136114358902,4.322823224356398e-05,4.805107593536377,350.72515869140625,110000.0,0.3400000035762787,1,titanium_rigid
