case,impact_x,impact_y,impact_z,velocity_x,velocity_y,velocity_z,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_young_mpa,material_poisson,material_index,material_name
case001,-1706.645263671875,272.5341796875,301.7865295410156,-395.0865478515625,88.81195068359375,4097.1005859375,4117.06396484375,0.8401681184768677,0.008401681669056416,4.3730749894166365e-05,5.644617080688477,167.3310089111328,110000.0,0.3400000035762787,1,titanium_rigid
case002,-2084.27197265625,296.92022705078125,312.24822998046875,-181.5183868408203,-222.0773162841797,3266.37646484375,3278.9453125,1.2046183347702026,0.012046183459460735,6.270038284128532e-05,5.018308639526367,230.73861694335938,110000.0,0.3400000035762787,1,titanium_rigid
case003,-1937.1080322265625,574.2139282226562,293.8957824707031,-1.913328766822815,481.92529296875,1926.2130126953125,1985.5860595703125,0.8279240131378174,0.008279239758849144,4.309344512876123e-05,14.046765327453613,90.22747039794922,110000.0,0.3400000035762787,1,titanium_rigid
case004,-2662.63916015625,587.7605590820312,299.9596862792969,668.7108154296875,-617.0193481445312,4835.71142578125,4920.568359375,0.8684216141700745,0.008684216067194939,4.520134461927228e-05,10.65613079071045,317.3022766113281,110000.0,0.3400000035762787,1,titanium_rigid
case005,-1998.154541015625,473.63916015625,289.0584716796875,81.92652893066406,-476.58966064453125,4357.87646484375,4384.625,1.1773799657821655,0.011773799546062946,6.12826261203736e-05,6.332029819488525,279.75390625,210000.0,0.30000001192092896,2,steel_rigid
case006,-2176.805908203125,263.226318359375,314.3907165527344,103.78378295898438,657.157470703125,3543.6533203125,3605.56591796875,0.848694384098053,0.008486944250762463,4.4174543290864676e-05,10.633199691772461,81.02549743652344,110000.0,0.3400000035762787,1,titanium_rigid
case007,-1808.0255126953125,526.400146484375,296.50933837890625,-118.15422058105469,144.0165557861328,3305.780029296875,3311.0244140625,1.0365852117538452,0.010365852154791355,5.395425978349522e-05,3.22523832321167,129.36618041992188,210000.0,0.30000001192092896,2,steel_rigid
case008,-2394.383544921875,419.25799560546875,298.16375732421875,21.30889892578125,-430.2323913574219,1755.994873046875,1808.0574951171875,1.0247774124145508,0.010247774422168732,5.333966691978276e-05,13.782953262329102,272.8354797363281,210000.0,0.30000001192092896,2,steel_rigid
case009,-2263.487060546875,345.348388671875,290.339111328125,406.4707336425781,212.7570037841797,1735.0264892578125,1794.6590576171875,0.9276517033576965,0.009276516735553741,4.82842733617872e-05,14.811470031738281,27.628690719604492,110000.0,0.3400000035762787,1,titanium_rigid
case010,-1969.6932373046875,486.5714111328125,289.5390625,-461.36492919921875,-105.41197204589844,1957.16943359375,2013.5743408203125,1.0293989181518555,0.010293989442288876,5.358021371648647e-05,13.59349536895752,192.8699493408203,70000.0,0.33000001311302185,0,aluminum_rigid
